symbol,entry_time,onset_time,peak_time,entry_price,peak_price,spike_pct,entry_to_peak_minutes,onset_to_peak_minutes
ACETRY,2026-08-17 05:57:59,2026-08-17 05:57:59,2026-08-17 06:12:59,7.289,7.94,8.93127,15.0,15.0
GPSTRY,2026-08-17 06:23:59,2026-08-17 06:31:59,2026-08-17 06:38:59,0.597,0.634,6.19765,15.0,7.0
ACETRY,2026-08-17 06:30:59,2026-08-17 06:30:59,2026-08-17 06:45:59,7.766,8.495,9.38707,15.0,15.0
PORTALTRY,2026-08-17 06:46:59,2026-08-17 06:46:59,2026-08-17 06:56:59,0.874,0.9186,5.10297,10.0,10.0
GPSTRY,2026-08-17 07:11:59,2026-08-17 07:19:59,2026-08-17 07:26:59,0.67,0.704,5.07463,15.0,7.0
PORTALTRY,2026-08-17 07:33:59,2026-08-17 07:35:59,2026-08-17 07:36:59,0.8585,0.904,5.29994,3.0,1.0
DODOTRY,2026-08-17 07:54:59,2026-08-17 07:54:59,2026-08-17 08:09:59,1.0508,1.1068,5.32927,15.0,15.0
GPSTRY,2026-08-17 07:54:59,2026-08-17 07:55:59,2026-08-17 08:03:59,0.691,0.732,5.93343,9.0,8.0
PORTALTRY,2026-08-17 08:00:59,2026-08-17 08:00:59,2026-08-17 08:15:59,0.8826,0.93,5.3705,15.0,15.0
GPSTRY,2026-08-17 08:18:59,2026-08-17 08:15:59,2026-08-17 08:30:59,0.71,0.755,6.33803,12.0,15.0
EDENTRY,2026-08-17 08:45:59,2026-08-17 08:50:59,2026-08-17 09:00:59,2.163,2.29,5.87147,15.0,10.0
RVNTRY,2026-08-17 09:03:59,2026-08-17 09:08:59,2026-08-17 09:18:59,0.1446,0.1531,5.87828,15.0,10.0
SIGNTRY,2026-08-17 09:05:59,2026-08-17 09:05:59,2026-08-17 09:20:59,0.328,0.348,6.09756,15.0,15.0
PORTALTRY,2026-08-17 09:09:59,2026-08-17 09:10:59,2026-08-17 09:16:59,0.801,0.842,5.1186,7.0,6.0
CHIPTRY,2026-08-17 09:32:59,2026-08-17 09:35:59,2026-08-17 09:47:59,1.4548,1.5301,5.17597,15.0,12.0
HBARTRY,2026-08-17 10:09:59,2026-08-17 10:09:59,2026-08-17 10:24:59,3.112,3.361,8.00129,15.0,15.0
GPSTRY,2026-08-17 11:17:59,2026-08-17 11:24:59,2026-08-17 11:31:59,0.695,0.744,7.05036,14.0,7.0
ACETRY,2026-08-17 11:30:59,2026-08-17 11:36:59,2026-08-17 11:45:59,7.083,7.495,5.81674,15.0,9.0
PORTALTRY,2026-08-17 11:44:59,2026-08-17 11:51:59,2026-08-17 11:57:59,0.7512,0.7915,5.36475,13.0,6.0
ZKPTRY,2026-08-17 12:11:59,2026-08-17 12:20:59,2026-08-17 12:24:59,1.946,2.05,5.3443,13.0,4.0
RARETRY,2026-08-17 12:15:59,2026-08-17 12:15:59,2026-08-17 12:30:59,0.5702,0.64,12.24132,15.0,15.0
ACETRY,2026-08-17 12:16:59,2026-08-17 12:16:59,2026-08-17 12:20:59,7.765,8.216,5.80811,4.0,4.0
BELTRY,2026-08-17 12:16:59,2026-08-17 12:18:59,2026-08-17 12:31:59,5.23,5.55,6.11855,15.0,13.0
GPSTRY,2026-08-17 12:45:59,2026-08-17 12:45:59,2026-08-17 13:00:59,0.736,0.778,5.70652,15.0,15.0
ACETRY,2026-08-17 12:50:59,2026-08-17 12:57:59,2026-08-17 13:05:59,8.169,8.686,6.3288,15.0,8.0
CATITRY,2026-08-17 13:10:59,2026-08-17 13:10:59,2026-08-17 13:25:59,2.267,2.45,8.07234,15.0,15.0
ACETRY,2026-08-17 13:20:59,2026-08-17 13:21:59,2026-08-17 13:35:59,8.665,9.188,6.03578,15.0,14.0
GPSTRY,2026-08-17 13:35:59,2026-08-17 13:35:59,2026-08-17 13:50:59,0.759,0.797,5.00659,15.0,15.0
PORTALTRY,2026-08-17 13:39:59,2026-08-17 13:39:59,2026-08-17 13:54:59,0.7376,0.7746,5.01627,15.0,15.0
ACETRY,2026-08-17 13:50:59,2026-08-17 13:50:59,2026-08-17 14:05:59,9.22,9.721,5.43384,15.0,15.0
PORTALTRY,2026-08-17 14:11:59,2026-08-17 14:15:59,2026-08-17 14:25:59,0.7735,0.8122,5.00323,14.0,10.0
ACETRY,2026-08-17 14:23:59,2026-08-17 14:19:59,2026-08-17 14:34:59,9.296,9.777,5.17427,11.0,15.0
GPSTRY,2026-08-17 14:31:59,2026-08-17 14:33:59,2026-08-17 14:37:59,0.786,0.829,5.47074,6.0,4.0
LUMIATRY,2026-08-17 14:45:59,2026-08-17 14:48:59,2026-08-17 15:00:59,4.283,4.5,5.06654,15.0,12.0
PORTALTRY,2026-08-17 15:00:59,2026-08-17 15:00:59,2026-08-17 15:12:59,0.7865,0.8262,5.04768,12.0,12.0
IOTRY,2026-08-17 15:01:59,2026-08-17 15:01:59,2026-08-17 15:03:59,5.323,5.597,5.14747,2.0,2.0
COTITRY,2026-08-17 15:20:59,2026-08-17 15:20:59,2026-08-17 15:34:59,0.5011,0.527,5.16863,14.0,14.0
HAEDALTRY,2026-08-17 15:40:59,2026-08-17 15:40:59,2026-08-17 15:55:59,0.807,0.852,5.57621,15.0,15.0
ACETRY,2026-08-17 15:44:59,2026-08-17 15:44:59,2026-08-17 15:53:59,8.471,8.969,5.87888,9.0,9.0
PORTALTRY,2026-08-17 16:02:59,2026-08-17 16:03:59,2026-08-17 16:17:59,0.8188,0.87,6.25305,15.0,14.0
BERATRY,2026-08-17 16:06:59,2026-08-17 16:09:59,2026-08-17 16:21:59,7.039,8.2,16.49382,15.0,12.0
GUNTRY,2026-08-17 16:14:59,2026-08-17 16:19:59,2026-08-17 16:26:59,0.146,0.154,5.47945,12.0,7.0
GPSTRY,2026-08-17 16:22:59,2026-08-17 16:27:59,2026-08-17 16:37:59,0.699,0.742,6.15165,15.0,10.0
PORTALTRY,2026-08-17 16:45:59,2026-08-17 16:46:59,2026-08-17 17:00:59,0.8056,0.8579,6.49206,15.0,14.0
EULTRY,2026-08-17 16:54:59,2026-08-17 16:54:59,2026-08-17 17:09:59,58.2,61.4,5.49828,15.0,15.0
GPSTRY,2026-08-17 17:23:59,2026-08-17 17:23:59,2026-08-17 17:38:59,0.718,0.755,5.1532,15.0,15.0
HEMITRY,2026-08-17 17:24:59,2026-08-17 17:25:59,2026-08-17 17:39:59,0.3124,0.3288,5.24968,15.0,14.0
ACETRY,2026-08-17 17:25:59,2026-08-17 17:19:59,2026-08-17 17:34:59,8.873,9.37,5.60126,9.0,15.0
CATITRY,2026-08-17 17:28:59,2026-08-17 17:28:59,2026-08-17 17:43:59,2.322,2.45,5.51249,15.0,15.0
LUMIATRY,2026-08-17 17:46:59,2026-08-17 17:58:59,2026-08-17 18:01:59,3.95,4.285,8.48101,15.0,3.0
EDENTRY,2026-08-17 17:57:59,2026-08-17 18:00:59,2026-08-17 18:12:59,2.298,2.43,5.74413,15.0,12.0
LUNATRY,2026-08-17 18:18:59,2026-08-17 18:19:59,2026-08-17 18:33:59,2.007,2.13,6.12855,15.0,14.0
