[START] strategy=BB_MFI_MEAN_REVERSION initial=10000.00 TRY window=2026-08-10T00:24:02+00:00..2026-08-10T21:24:02+00:00
[ACTIVITY] 0GTRY status=ACTIVE metrics={"status": "ACTIVE", "quote_volume": 16690977.3, "range_15m_pct": 1.1065, "atr_pct": 0.2642, "volume_ratio": 2.3921, "spread_pct": 0.1376, "checks": {"quote_volume": true, "range_15m": true, "atr": true, "volume_ratio": true, "spread": true}, "reason": "active"}
[ACTIVITY] 1000CATTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 13870804.41, "range_15m_pct": 0.0, "atr_pct": 0.1742, "volume_ratio": 0.0, "spread_pct": 1.2121, "checks": {"quote_volume": true, "range_15m": false, "atr": true, "volume_ratio": false, "spread": false}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] 1000SATSTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 12055148.43, "range_15m_pct": 0.2008, "atr_pct": 0.0861, "volume_ratio": 0.7373, "spread_pct": 0.1998, "checks": {"quote_volume": true, "range_15m": true, "atr": false, "volume_ratio": true, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] 1MBABYDOGETRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 6190243.85, "range_15m_pct": 0.4875, "atr_pct": 0.0476, "volume_ratio": 40.2196, "spread_pct": 0.1211, "checks": {"quote_volume": true, "range_15m": true, "atr": false, "volume_ratio": true, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] 2ZTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 1132834.26, "range_15m_pct": 0.2322, "atr_pct": 0.1158, "volume_ratio": 0.4818, "spread_pct": 0.27, "checks": {"quote_volume": true, "range_15m": true, "atr": false, "volume_ratio": false, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] AAVETRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 6259100.83, "range_15m_pct": 0.1179, "atr_pct": 0.0673, "volume_ratio": 0.0, "spread_pct": 0.0471, "checks": {"quote_volume": true, "range_15m": false, "atr": false, "volume_ratio": false, "spread": true}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] ACETRY status=ACTIVE metrics={"status": "ACTIVE", "quote_volume": 97423664.33, "range_15m_pct": 4.2439, "atr_pct": 0.8, "volume_ratio": 4.3514, "spread_pct": 0.1511, "checks": {"quote_volume": true, "range_15m": true, "atr": true, "volume_ratio": true, "spread": true}, "reason": "active"}
[ACTIVITY] ACHTRY status=ACTIVE metrics={"status": "ACTIVE", "quote_volume": 9850117.23, "range_15m_pct": 0.1941, "atr_pct": 0.1557, "volume_ratio": 1.3236, "spread_pct": 0.097, "checks": {"quote_volume": true, "range_15m": true, "atr": true, "volume_ratio": true, "spread": true}, "reason": "active"}
[ACTIVITY] ACMTRY status=PASSIVE metrics={"status": "PASSIVE", "quote_volume": 3950973.8, "range_15m_pct": 0.0, "atr_pct": 0.0, "volume_ratio": 0.0, "spread_pct": 0.4651, "checks": {"quote_volume": true, "range_15m": false, "atr": false, "volume_ratio": false, "spread": false}, "reason": "movement_or_liquidity_below_threshold"}
[ACTIVITY] ACTTRY status=ACTIVE metrics={"status": "ACTIVE", "quote_volume": 425914164.64, "range_15m_pct": 1.8288, "atr_pct": 0.5229, "volume_ratio": 0.6163, "spread_pct": 0.1298, "checks": {"quote_volume": true, "range_15m": true, "atr": true, "volume_ratio": true, "spread": true}, "reason": "active"}
